efz20050101.001210 6
efz20050102.001210 9
efz20050103.001210 7
efz20050104.001210 4
efz20050105.001210 5
efz20050106.001210 4
efz20050107.001210 7
efz20050108.001210 2
efz20050109.001210 5
efz20050110.001210 4
efz20050111.001210 7
efz20050112.001210 6
efz20050113.001210 9
efz20050114.001210 8
efz20050115.001210 4
efz20050116.001210 16
efz20050117.001210 53
efz20050118.001437 1
efz20050119.001248 72
efz20050120.001210 52
efz20050121.001106 24
efz20050122.001210 35
efz20050123.001210 14
efz20050124.001210 6
efz20050125.001210 10
efz20050126.001210 6
efz20050127.001210 4
efz20050128.001211 3
efz20050129.001212 7
efz20050130.001212 7
efz20050131.001210 7
efz20050201.001211 6
efz20050202.001210 2
efz20050203.001211 4
efz20050204.001210 6
efz20050205.001210 5
efz20050206.001210 3
efz20050207.001210 6
efz20050208.001210 5
efz20050209.001210 4
efz20050210.001210 6
efz20050211.001223 10
efz20050212.001211 7
efz20050213.001210 9
efz20050214.001210 5
efz20050215.001210 5
efz20050216.001210 8
efz20050217.001210 5
efz20050218.001210 4
efz20050219.001210 6
efz20050220.001210 6
efz20050221.001212 7
efz20050222.001311 9
efz20050223.000624 nan
efz20050224.000610 nan
efz20050225.000610 nan
efz20050226.000623 nan
efz20050227.001210 4
efz20050228.001211 2
efz20050301.001210 5
efz20050302.001210 4
efz20050303.001210 3
efz20050304.001212 6
efz20050305.001210 2
efz20050306.001210 6
efz20050307.001211 4
efz20050308.001210 6
efz20050309.001210 3
efz20050310.001210 5
efz20050311.001211 4
efz20050401.001210 4
efz20050402.001211 3
efz20050403.001210 7
efz20050404.001210 4
efz20050405.001211 6
efz20050406.001210 3
efz20050407.001211 3
efz20050408.001210 3
efz20050409.001210 3
efz20050410.001210 4
efz20050411.001211 8
efz20050412.001210 5
efz20050413.001210 3
efz20050414.001212 3
efz20050415.001210 6
efz20050416.001210 3
efz20050417.001210 4
efz20050418.001211 6
efz20050419.001211 3
efz20050420.001210 7
efz20050421.001211 2
efz20050422.001210 4
efz20050423.001210 6
efz20050424.001210 3
efz20050425.001210 4
efz20050426.001210 3
efz20050427.001211 7
efz20050428.001211 4
efz20050429.001210 2
efz20050430.001210 2
efz20050501.001210 4
efz20050502.001211 3
efz20050503.001210 3
efz20050504.001211 6
efz20050505.001210 5
efz20050506.001210 5
efz20050507.001211 5
efz20050508.001210 4
efz20050509.001210 8
efz20050510.001210 4
efz20050511.001211 7
efz20050515.001210 8
efz20050516.001210 2
efz20050517.001210 4
efz20050518.001211 6
efz20050519.001211 4
efz20050520.001210 8
efz20050521.001210 4
efz20050522.001210 4
efz20050523.001210 4
efz20050524.001210 3
efz20050525.001210 2
efz20050526.001210 4
efz20050527.001210 2
efz20050606.001210 3
efz20050626.001210 5
efz20050627.001211 8
efz20050628.001210 2
efz20050629.001210 8
efz20050630.001210 7
efz20050701.001211 8
efz20050702.001210 7
efz20050703.001210 6
efz20050704.001210 6
efz20050705.001210 7
efz20050706.001210 9
efz20050707.001211 3
efz20050708.001212 4
efz20050709.001210 8
efz20050710.001210 10
efz20050711.001211 11
efz20050712.001210 7
efz20050713.001210 4
efz20050714.001210 6
efz20050715.001212 35
efz20050716.001210 15
efz20050717.001210 3
efz20050718.001210 13
efz20050719.001210 3
efz20050720.001210 2
efz20050721.001210 2
efz20050722.001210 1
efz20050723.001210 5
efz20050724.001210 7
efz20050725.001210 6
efz20050726.001211 7
efz20050727.001210 8
efz20050728.001210 23
efz20050729.001210 22
efz20050730.001210 16
efz20050731.001211 13
efz20050801.001210 7
efz20050802.001210 10
efz20050803.001212 6
efz20050804.001210 5
efz20050805.001210 8
efz20050806.001210 8
efz20050807.001210 5
efz20050808.001210 7
efz20050811.001210 3
efz20050812.001210 6
efz20050813.001210 4
efz20050814.001210 5
efz20050815.001210 3
efz20050816.001210 3
efz20050817.001211 1
efz20050818.001211 3
efz20050819.001210 8
efz20050820.001210 8
efz20050821.001210 9
efz20050822.001210 6
efz20050824.001210 20
efz20050825.001210 8
efz20050826.001210 8
efz20050827.001210 8
efz20050828.001210 2
efz20050829.001210 4
efz20050830.001210 9
efz20050831.001210 7
efz20050901.001210 5
efz20050902.001210 13
efz20050925.001210 5
efz20050926.001210 7
efz20050928.001210 3
efz20050929.001445 5
efz20050930.001210 2
efz20051001.001211 7
efz20051002.001210 9
efz20051003.001210 6
efz20051004.001210 4
efz20051005.001210 5
efz20051006.001210 4
efz20051007.001210 5
efz20051008.001210 6
efz20051009.001210 4
efz20051010.001210 5
efz20051011.001208 3
efz20051012.001210 7
efz20051013.001211 4
efz20051014.001211 3
efz20051015.001211 2
efz20051016.001211 4
efz20051017.001210 4
efz20051018.001210 6
efz20051019.001210 8
efz20051020.001407 22
efz20051023.001210 3
efz20051024.001210 5
efz20051025.001210 3
efz20051026.001210 3
efz20051027.001210 7
efz20051028.001211 2
efz20051029.001211 1
efz20051030.001210 2
efz20051031.001210 6
efz20051101.001210 3
efz20051102.001210 5
efz20051103.001210 5
efz20051104.001211 6
efz20051105.001210 7
efz20051106.001211 7
efz20051107.001211 3
efz20051108.001211 6
efz20051109.001210 9
efz20051110.001210 3
efz20051111.001210 7
efz20051112.001211 4
efz20051113.001210 7
efz20051114.001210 4
efz20051115.001210 5
efz20051116.001211 4
efz20051117.001210 4
efz20051118.001210 8
efz20051119.001210 2
efz20051120.001210 7
efz20051121.001210 6
efz20051122.001210 4
efz20051124.001210 6
efz20051125.001210 5
efz20051126.001211 4
efz20051127.001210 7
efz20051128.001210 8
efz20051130.001210 8
efz20051201.001210 6
efz20051202.001210 5
efz20051219.001210 3
efz20051220.001210 4
efz20051221.001210 8
efz20051222.001211 3
efz20051223.001210 8
efz20051224.001210 8
efz20051225.001210 8
efz20051226.001210 10
efz20051227.001210 8
efz20051228.001210 11
efz20051229.001211 11
efz20051230.001210 6
efz20051231.001210 7
efz20060101.001209 5
efz20060102.001210 9
efz20060103.001209 3
efz20060104.001209 5
efz20060105.001209 3
efz20060106.001209 6
efz20060107.001209 3
efz20060108.001209 6
efz20060109.001209 5
efz20060110.001209 4
efz20060111.001209 4
efz20060112.001209 4
efz20060113.001209 1
efz20060114.001209 3
efz20060115.001209 4
efz20060117.001209 4
efz20060118.001209 8
efz20060119.001209 3
efz20060120.001209 8
efz20060121.001211 5
efz20060122.001209 8
efz20060123.001211 5
efz20060124.001209 5
efz20060125.001209 4
efz20060126.001209 7
efz20060127.001209 3
